contig	orf	taxonomy	erfc	orf_taxonomy	refseq_product	refseq_evalue	refseq_bitscore	uniprot_ac	eggnog_ssid_b	eggnog_species_id	uniprot_id	cog_func_id	cog_id	cog_product	cog_level1_code	cog_level1_name	cog_level2_name	cazy_id1	cazy_id2	cazy_class	cazy_clan	cazy_product	cazy_gene_id	cazy_taxa	cazy_ec	ko_id	ko_level1_name	ko_level2_name	ko_level3_id	ko_level3_name	ko_gene_symbol	ko_product	ko_ec	eggnog_evalue	eggnog_bitscore
k81_2322	k81_2322_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella bivia	1.0	Prevotella bivia	DNA gyrase subunit A	2.1999999999999996e-100	372.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.4999999999999994e-99	367.5
k81_2325	k81_2325_1	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2326	k81_2326_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	NADH-quinone oxidoreductase subunit I	7.7e-51	207.2	D1P8W5	PREVCOP_03622	537011.0	D1P8W5_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0999999999999997e-51	207.2
k81_2326	k81_2326_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	NADH dehydrogenase subunit J	9.699999999999999e-80	303.9	D1P8W4	PREVCOP_03621	537011.0	D1P8W4_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6999999999999994e-80	303.9
k81_233	k81_233_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. P5-60	1.0	Prevotella sp. P5-60	group II intron reverse transcriptase/maturase	2.599999999999999e-229	802.4	F8N9H1	Premu_0199	688246.0	F8N9H1_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2999999999999987e-228	797.3
k81_2331	k81_2331_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	phosphoserine phosphatase	4.7000000000000005e-60	238.0	D1PEY4	PREVCOP_05790	537011.0	D1PEY4_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3000000000000002e-60	238.0
k81_2331	k81_2331_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella	MULTISPECIES: molecular chaperone DnaK	9.299999999999997e-240	837.0	D3IFG2	HMPREF0670_00081	575615.0	D3IFG2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.499999999999995e-232	808.9
k81_2332	k81_2332_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella histicola	methionine--tRNA ligase	2.7e-90	339.3	D1PDT2	PREVCOP_05374	537011.0	D1PDT2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.499999999999999e-109	400.2
k81_2332	k81_2332_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	hypothetical protein	3.1e-122	445.7	D1PDT3	PREVCOP_05375	537011.0	D1PDT3_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5999999999999994e-126	458.0
k81_2332	k81_2332_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	hypothetical protein	5.399999999999998e-196	691.8	D1PF40	PREVCOP_05847	537011.0	D1PF40_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4999999999999992e-196	691.8
k81_2333	k81_2333_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella melaninogenica	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2333	k81_2333_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella melaninogenica	1.0	Prevotella melaninogenica	hypothetical protein	8.499999999999999e-60	237.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2333	k81_2333_3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2335	k81_2335_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	1.3999999999999995e-90	340.1	D1PH66	PREVCOP_06586	537011.0	D1PH66_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.799999999999999e-91	340.1
k81_2335	k81_2335_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	cell filamentation protein Fic	1.1999999999999998e-27	129.4	D1PH68	PREVCOP_06588	537011.0	D1PH68_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.3999999999999996e-28	129.4
k81_2336	k81_2336_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	1.0	Bacteroides fragilis	transposase	1.4999999999999998e-91	343.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1999999999999996e-91	341.7
k81_2339	k81_2339_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	3.4e-32	144.8	D1PD84	PREVCOP_05171	537011.0	D1PD84_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.3e-33	144.8
k81_2340	k81_2340_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella buccae	1.0	Prevotella buccae	histidine kinase	7.199999999999998e-131	474.9	D1PCM1	PREVCOP_04955	537011.0	D1PCM1_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.4999999999999982e-205	719.9
k81_2341	k81_2341_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.01853167775119914	Prevotella copri	methionine ABC transporter substrate-binding protein	4.799999999999998e-100	371.7	D1P8U8	PREVCOP_03529	537011.0	D1P8U8_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3999999999999995e-110	404.1
k81_2341	k81_2341_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.01853167775119914	Prevotella copri	thiamine phosphate synthase	1.0999999999999997e-121	443.7	D1P8U9	PREVCOP_03530	537011.0	D1P8U9_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1e-122	443.7
k81_2341	k81_2341_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.01853167775119914	Prevotella copri	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	6.899999999999999e-150	537.7	D1P8J8	PREVCOP_03531	537011.0	D1P8J8_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8999999999999996e-150	537.7
k81_2341	k81_2341_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.01853167775119914	Prevotella copri	radical SAM protein	1.0999999999999999e-65	256.9	D1P8J9	PREVCOP_03532	537011.0	D1P8J9_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.899999999999999e-66	256.9
k81_2342	k81_2342_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	glycosyl transferase family 2	1.0999999999999999e-122	447.6	D1PE93	PREVCOP_05541	537011.0	D1PE93_9BACT	NA	NA	NA	NA	NA	NA	GT2	NA	GT	NA	Glycosyltransferase, group 2 family protein (EC 2.4.-.-)	PREVCOP_05541	Prevotella copri DSM 18205	2.4.-.-	NA	NA	NA	NA	NA	NA	NA	NA	2.9999999999999995e-123	447.6
k81_2342	k81_2342_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2343	k81_2343_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	acyl-CoA dehydrogenase	6.3999999999999984e-139	501.1	D7NCB0	HMPREF0665_01173	563008.0	D7NCB0_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.699999999999999e-129	466.8
k81_2343	k81_2343_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	electron transfer flavoprotein subunit alpha	2.5999999999999993e-152	545.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.899999999999999e-140	502.7
k81_2348	k81_2348_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	8.799999999999998e-92	344.4	D1PG34	PREVCOP_06198	537011.0	D1PG34_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3999999999999994e-92	344.4
k81_2348	k81_2348_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	ATPase P	6.699999999999999e-119	434.5	D1PI21	PREVCOP_06902	537011.0	D1PI21_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.7999999999999994e-119	434.5
k81_2350	k81_2350_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella dentasini	chromosomal replication initiator protein DnaA	9.499999999999999e-88	330.9	D1PD34	PREVCOP_05120	537011.0	D1PD34_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5999999999999998e-109	401.4
k81_2350	k81_2350_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	membrane protein	7.799999999999999e-111	407.5	D1PD33	PREVCOP_05119	537011.0	D1PD33_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.099999999999999e-111	407.5
k81_2350	k81_2350_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	TonB-dependent receptor	1.3999999999999995e-118	433.3	D1PD32	PREVCOP_05118	537011.0	D1PD32_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.899999999999999e-119	433.3
k81_2359	k81_2359_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. 109	1.0	Prevotella sp. 109	TonB-dependent receptor	2.9999999999999994e-78	299.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2360	k81_2360_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	alpha-L-rhamnosidase	9.699999999999998e-91	340.5	D1PCK6	PREVCOP_04940	537011.0	D1PCK6_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5999999999999996e-91	340.5
k81_2363	k81_2363_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella nanceiensis	30S ribosomal protein S3	6.199999999999998e-115	421.4	D1PFZ1	PREVCOP_06149	537011.0	D1PFZ1_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.899999999999998e-131	473.0
k81_2363	k81_2363_10	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L6	9.799999999999997e-103	380.6	D1PFY2	PREVCOP_06140	537011.0	D1PFY2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6999999999999996e-103	380.6
k81_2363	k81_2363_11	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L18	5.099999999999999e-54	218.0	D1PFY1	PREVCOP_06139	537011.0	D1PFY1_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3999999999999998e-54	218.0
k81_2363	k81_2363_12	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	30S ribosomal protein S5	3.6999999999999987e-85	322.0	D1PFY0	PREVCOP_06138	537011.0	D1PFY0_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e-85	322.0
k81_2363	k81_2363_13	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2363	k81_2363_14	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella stercorea	50S ribosomal protein L15	1.5e-35	156.0	D1PFX8	PREVCOP_06136	537011.0	D1PFX8_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.2e-36	156.0
k81_2363	k81_2363_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L16	1.1999999999999998e-76	293.5	D1PFZ0	PREVCOP_06148	537011.0	D1PFZ0_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1999999999999996e-77	293.5
k81_2363	k81_2363_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L29	3.3e-26	124.8	D1PFY9	PREVCOP_06147	537011.0	D1PFY9_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9e-27	124.8
k81_2363	k81_2363_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	30S ribosomal protein S17	1.7999999999999998e-40	172.6	D1PFY8	PREVCOP_06146	537011.0	D1PFY8_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5e-41	172.6
k81_2363	k81_2363_5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L14	9.499999999999998e-59	233.8	D1PFY7	PREVCOP_06145	537011.0	D1PFY7_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.5999999999999995e-59	233.8
k81_2363	k81_2363_6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L24	7.000000000000001e-50	204.1	D1PFY6	PREVCOP_06144	537011.0	D1PFY6_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8999999999999997e-50	204.1
k81_2363	k81_2363_7	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	50S ribosomal protein L5	3.899999999999999e-96	358.6	D1PFY5	PREVCOP_06143	537011.0	D1PFY5_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1e-96	358.6
k81_2363	k81_2363_8	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	30S ribosomal protein S14	3.6e-48	198.4	D1PFY4	PREVCOP_06142	537011.0	D1PFY4_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1e-48	198.4
k81_2363	k81_2363_9	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.0017917949926441422	Prevotella copri	30S ribosomal protein S8	7.099999999999998e-68	264.2	D1PFY3	PREVCOP_06141	537011.0	D1PFY3_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.8999999999999994e-68	264.2
k81_2365	k81_2365_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	1.0	Bacteroides fragilis	DEAD/DEAH box helicase	3.0999999999999994e-69	268.9	B0MVR9	ALIPUT_01185	445970.0	B0MVR9_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.6999999999999997e-76	290.4
k81_2368	k81_2368_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1.0	Bacteroides	MULTISPECIES: protease	4.799999999999999e-113	414.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2999999999999997e-113	414.8
k81_237	k81_237_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	carbamoyl phosphate synthase large subunit	9.999999999999998e-91	340.5	D1PBY2	PREVCOP_04712	537011.0	D1PBY2_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.699999999999999e-91	340.5
k81_2373	k81_2373_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	glutamate dehydrogenase	3.0999999999999994e-92	345.5	D1PC66	PREVCOP_04797	537011.0	D1PC66_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.399999999999999e-93	345.5
k81_2373	k81_2373_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	ComEC/Rec2 family protein	3.1e-31	141.7	D1PC67	PREVCOP_04798	537011.0	D1PC67_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.3e-32	141.7
k81_2374	k81_2374_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__Parabacteroides distasonis	1.0	Parabacteroides distasonis	hemolysin	8.199999999999998e-70	270.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2e-70	270.8
k81_2376	k81_2376_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	flavoprotein	2.7999999999999995e-44	185.3	D1PHB5	PREVCOP_06635	537011.0	D1PHB5_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7e-45	185.3
k81_2376	k81_2376_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	membrane protein	2.7e-174	619.0	D1PHB6	PREVCOP_06636	537011.0	D1PHB6_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.299999999999997e-175	619.0
k81_2377	k81_2377_1	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2379	k81_2379_1	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_2379	k81_2379_2	NA	1.0	root	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
k81_238	k81_238_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	bifunctional imidazole glycerol-phosphate dehydratase/histidinol phosphatase	5.299999999999999e-69	268.1	D1PHA5	PREVCOP_06625	537011.0	D1PHA5_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.4999999999999997e-69	268.1
k81_2385	k81_2385_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1.0	Prevotella copri	arabinose-5-phosphate isomerase	4.5999999999999994e-91	341.7	D1P8Z3	PREVCOP_03650	537011.0	D1P8Z3_9BACT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.2999999999999998e-91	341.7
