contig	orf	taxonomy	erfc	orf_taxonomy	refseq_product	refseq_evalue	refseq_bitscore
k81_9924	k81_9924_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	1.8e-63	249.6
k81_678	k81_678_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	membrane protein	6.2e-105	387.9
k81_6443	k81_6443_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	arabinan endo-1,5-alpha-L-arabinosidase	6.0e-63	247.7
k81_6638	k81_6638_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	1	root	hypothetical protein	NA	NA
k81_6638	k81_6638_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	1	Alistipes putredinis	tRNA(5-methylaminomethyl-2-thiouridine)-methyltransferase	9.3e-46	190.3
k81_8838	k81_8838_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	MATE family efflux transporter	3.4e-107	395.6
k81_4107	k81_4107_1		1.0	root	hypothetical protein	NA	NA
k81_3516	k81_3516_1		1.0	root	hypothetical protein	NA	NA
k81_3516	k81_3516_2		1.0	root	hypothetical protein	NA	NA
k81_10013	k81_10013_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	SusC/RagA family TonB-linked outer membrane protein	0.0e+00	1139.8
k81_5260	k81_5260_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	1	Bacteroides eggerthii	hypothetical protein	2.9e-78	298.9
k81_994	k81_994_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hybrid sensor histidine kinase/response regulator	3.3e-141	508.8
k81_7613	k81_7613_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	endo-1,4-beta-mannosidase	1.7e-56	226.1
k81_8466	k81_8466_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	1	Bacteroides eggerthii	hypothetical protein	9.1e-72	277.3
k81_8466	k81_8466_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	1	root	hypothetical protein	NA	NA
k81_9234	k81_9234_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_9234	k81_9234_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	phosphate-binding protein	2.0e-129	469.5
k81_10134	k81_10134_1		1.0	root	hypothetical protein	NA	NA
k81_10134	k81_10134_2		1.0	root	hypothetical protein	NA	NA
k81_1895	k81_1895_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	MFS transporter	1.2e-77	297.0
k81_3961	k81_3961_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	2.5e-103	382.5
k81_3478	k81_3478_1		1.0	root	hypothetical protein	NA	NA
k81_6597	k81_6597_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella bryantii	1	Prevotella bryantii	glycosyl hydrolase family 2	1.1e-214	753.8
k81_4073	k81_4073_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	6.1e-135	488.0
k81_1667	k81_1667_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	hypothetical protein	2.2e-75	289.3
k81_3441	k81_3441_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.01853167775119914	Bacteroidales	MULTISPECIES: hypothetical protein	1.0e-187	663.7
k81_3441	k81_3441_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.01853167775119914	Bacteroidales	MULTISPECIES: hypothetical protein	4.5e-213	748.0
k81_3441	k81_3441_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.01853167775119914	Bacteroidales	MULTISPECIES: glycosyl transferase	4.7e-176	624.8
k81_3441	k81_3441_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.01853167775119914	Bacteroidales	MULTISPECIES: glycosyl transferase	1.5e-120	439.9
k81_3127	k81_3127_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 2_2_4	1	Bacteroides sp. 2_2_4	hypothetical protein	1.6e-73	283.1
k81_6287	k81_6287_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: 2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2.1e-111	409.5
k81_8358	k81_8358_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	pyruvate kinase	7.7e-126	457.6
k81_8358	k81_8358_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	sugar transporter	4.0e-134	485.3
k81_8358	k81_8358_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	glutamine--fructose-6-phosphate aminotransferase	1.2e-51	209.9
k81_5121	k81_5121_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hybrid sensor histidine kinase/response regulator	0.0e+00	1233.4
k81_8361	k81_8361_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroidales	MULTISPECIES: 30S ribosomal protein S19	1.1e-36	160.2
k81_8361	k81_8361_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroides gallinarum	50S ribosomal protein L2	9.3e-39	166.8
k81_2093	k81_2093_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	root	hypothetical protein	NA	NA
k81_2093	k81_2093_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroides sp. I48	hypothetical protein	6.1e-85	322.0
k81_2093	k81_2093_6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Parabacteroides distasonis	DNA methylase	6.3e-78	298.5
k81_4947	k81_4947_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	phosphoglycerate mutase	3.7e-66	258.5
k81_4488	k81_4488_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	Na+/H+ antiporter	3.7e-145	521.9
k81_8920	k81_8920_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii	1	Alistipes shahii	hypothetical protein	1.0e-81	310.5
k81_2269	k81_2269_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	1.8e-48	199.5
k81_2269	k81_2269_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	ATPase AAA	1.5e-112	413.3
k81_4231	k81_4231_1		1.0	root	hypothetical protein	NA	NA
k81_4231	k81_4231_2		1.0	root	hypothetical protein	NA	NA
k81_2623	k81_2623_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	helicase	1.1e-130	473.8
k81_6934	k81_6934_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: hypothetical protein	1.8e-50	206.1
k81_10233	k81_10233_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.5599458008536309	Parabacteroides gordonii	hypothetical protein	5.6e-242	844.3
k81_10233	k81_10233_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.5599458008536309	Bacteroidales	MULTISPECIES: integrase	5.9e-199	701.0
k81_10233	k81_10233_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.5599458008536309	Bacteroidales	MULTISPECIES: integrase	1.4e-130	473.4
k81_8549	k81_8549_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	1	Bacteroides xylanisolvens	phosphatidate cytidylyltransferase, partial	1.2e-76	293.5
k81_6281	k81_6281_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	type I pullulanase	4.0e-62	245.0
k81_5839	k81_5839_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	glycerate kinase 2	3.3e-178	632.1
k81_6358	k81_6358_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	1	Bacteroides fragilis	mobilization protein, partial	5.2e-148	531.6
k81_9078	k81_9078_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. 109	1	Prevotella sp. 109	calpastatin	1.8e-40	173.7
k81_9078	k81_9078_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. 109	1	root	hypothetical protein	NA	NA
k81_9078	k81_9078_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. 109	1	root	hypothetical protein	NA	NA
k81_3118	k81_3118_1		1.0	root	hypothetical protein	NA	NA
k81_3037	k81_3037_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella sp. 109	hypothetical protein	1.1e-20	106.7
k81_3037	k81_3037_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella sp. P5-119	hypothetical protein	2.9e-199	702.6
k81_4307	k81_4307_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	1	Bacteroides xylanisolvens	hypothetical protein, partial	1.9e-83	316.2
k81_4769	k81_4769_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: K+-transporting ATPase subunit A	2.9e-137	495.7
k81_584	k81_584_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides	1	Parabacteroides	MULTISPECIES: SusC/RagA family TonB-linked outer membrane protein	6.9e-69	267.7
k81_4438	k81_4438_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	glycoside hydrolase	2.5e-61	242.3
k81_1054	k81_1054_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercorirosoris	1	Bacteroides stercorirosoris	dihydroorotate dehydrogenase	9.1e-75	287.3
k81_1210	k81_1210_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	2.7e-219	768.8
k81_4042	k81_4042_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: membrane protein	2.3e-75	289.3
k81_7225	k81_7225_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. 3_1_19	1	Bacteroides sp. 3_1_19	hypothetical protein	3.6e-78	298.5
k81_9002	k81_9002_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	hypothetical protein	1.7e-166	593.2
k81_9002	k81_9002_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella	MULTISPECIES: hypothetical protein	6.6e-26	124.4
k81_9511	k81_9511_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	phosphate-binding protein	5.8e-45	187.6
k81_9511	k81_9511_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	4.0e-270	937.9
k81_9511	k81_9511_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	root	hypothetical protein	NA	NA
k81_6441	k81_6441_1	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister invisus	1	Dialister invisus	IS110 family transposase	8.7e-96	357.5
k81_3717	k81_3717_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	1.7e-99	369.8
k81_1914	k81_1914_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella	MULTISPECIES: 3-methyl-2-oxobutanoate dehydrogenase subunit VorB	2.0e-104	386.3
k81_1914	k81_1914_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	ferredoxin	9.9e-38	163.3
k81_1914	k81_1914_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	root	hypothetical protein	NA	NA
k81_1914	k81_1914_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	root	hypothetical protein	NA	NA
k81_7803	k81_7803_1		1.0	root	hypothetical protein	NA	NA
k81_4511	k81_4511_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella bryantii	DNA processing protein DprA	2.6e-152	546.2
k81_4511	k81_4511_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	tRNA dihydrouridine synthase DusB	5.7e-25	120.6
k81_2950	k81_2950_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	two-component sensor histidine kinase	9.5e-63	247.3
k81_4379	k81_4379_2		1.0	root	hypothetical protein	NA	NA
k81_9347	k81_9347_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: aldo/keto reductase	3.8e-72	278.5
k81_1200	k81_1200_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	NADP-dependent malic enzyme	1.8e-92	346.3
k81_6205	k81_6205_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	6.0e-91	341.3
k81_6205	k81_6205_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_5701	k81_5701_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	TrpB-like pyridoxal-phosphate dependent enzyme	1.4e-90	340.1
k81_1369	k81_1369_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	membrane protein	1.2e-49	203.4
k81_1369	k81_1369_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	CidA/LrgA family protein	1.6e-58	233.0
k81_4639	k81_4639_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides vulgatus	1	Bacteroides vulgatus	starch-binding protein	1.7e-90	339.7
k81_7718	k81_7718_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	altronate oxidoreductase	1.1e-83	317.0
k81_7718	k81_7718_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	hypothetical protein	6.5e-165	587.8
k81_6059	k81_6059_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	hypothetical protein	1.5e-59	236.5
k81_6059	k81_6059_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	AraC/XylS family transcriptional regulator	2.2e-165	589.3
k81_6059	k81_6059_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.04141670648736806	Prevotella copri	hypothetical protein	1.5e-52	213.0
k81_8683	k81_8683_2		1.0	root	hypothetical protein	NA	NA
k81_7826	k81_7826_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	aspartate--tRNA ligase	2.8e-81	308.9
k81_9621	k81_9621_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. P6B1	1	Prevotella sp. P6B1	SusC/RagA family TonB-linked outer membrane protein	0.0e+00	1512.7
k81_973	k81_973_1		1.0	root	hypothetical protein	NA	NA
k81_8256	k81_8256_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	8.1e-60	237.3
k81_8256	k81_8256_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	thiazole biosynthesis protein ThiJ	2.2e-102	379.4
k81_2906	k81_2906_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella oryzae	1	Prevotella oryzae	starch-binding protein	2.0e-101	376.7
k81_8816	k81_8816_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	Bacteroidales	MULTISPECIES: hypothetical protein	4.9e-136	491.5
k81_8816	k81_8816_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	Bacteroides coprophilus	radical SAM mobile pair protein A	8.9e-121	440.7
k81_8816	k81_8816_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	Bacteroidales	MULTISPECIES: radical SAM mobile pair protein B	6.9e-140	504.6
k81_8816	k81_8816_4	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	Bacteroidales	MULTISPECIES: sensor histidine kinase, partial	9.4e-83	313.9
k81_8816	k81_8816_5	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	root	hypothetical protein	NA	NA
k81_8816	k81_8816_6	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.16503796424971728	Bacteroidales	MULTISPECIES: hypothetical protein	1.9e-68	266.2
k81_3684	k81_3684_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	peptidase S41	6.9e-121	441.0
k81_7512	k81_7512_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: 2-nitropropane dioxygenase	1.4e-40	173.3
k81_1100	k81_1100_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii	1	Bacteroides eggerthii	O-methyltransferase	2.4e-43	182.2
k81_4253	k81_4253_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	TonB-dependent receptor	1.2e-235	823.2
k81_1237	k81_1237_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella sp. AGR2160	radical SAM mobile pair protein B	1.3e-44	186.4
k81_1237	k81_1237_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella	MULTISPECIES: Zn-dependent hydrolase	1.1e-138	500.4
k81_1237	k81_1237_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	root	hypothetical protein	NA	NA
k81_5186	k81_5186_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella sp. AGR2160	N-acyl-D-glucosamine 2-epimerase	6.3e-92	344.7
k81_5186	k81_5186_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella ruminicola	sugar transporter	2.4e-112	412.9
k81_7958	k81_7958_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella paludivivens	hypothetical protein	4.4e-42	178.7
k81_7958	k81_7958_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella sp. P5-119	polysaccharide lyase	2.3e-301	1042.0
k81_968	k81_968_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	1	Bacteroides thetaiotaomicron	hypothetical protein	5.5e-80	304.7
k81_7006	k81_7006_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella baroniae	1	Prevotella baroniae	SusC/RagA family TonB-linked outer membrane protein	9.0e-131	474.6
k81_952	k81_952_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella paludivivens	peptidase S9	6.6e-251	874.4
k81_952	k81_952_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	ribonuclease G	4.8e-27	127.5
k81_727	k81_727_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella oris	histidine--tRNA ligase	1.0e-97	364.0
k81_727	k81_727_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	adenylosuccinate synthase	1.2e-46	193.4
k81_2782	k81_2782_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	ribonuclease R	7.3e-106	391.0
k81_5370	k81_5370_1		1.0	root	hypothetical protein	NA	NA
k81_1946	k81_1946_1		1.0	root	hypothetical protein	NA	NA
k81_1946	k81_1946_2		1.0	root	hypothetical protein	NA	NA
k81_8662	k81_8662_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	amidophosphoribosyltransferase	4.5e-88	331.6
